Dorsal,Jugador,Liga,Posicion,Indice InStat,Partidos jugados,Minutos jugados,Starting lineup appearances,Jugador sustituido,De sustitucion,Ocasiones claras falladas,Ocasiones falladas por partido,Goles,Goles por partido,Tiros a portería,Tiros a porteria por partido,xG,Regates,Regates por partido, % disputas ganadas,Faltas cometidas por partido,Taclkes por Partido,Perdidas en campo propio,Perdidas en campo propio por partido,Balones recuperados,Balones recuperados por partido, % disputas por arriba ganadas,Interceptaciones,Interceptaciones por partido,Tarjetas amarillas,Asistencias,xA (Asistencias esperadas),Asistencias por partido,% de efectividad de pases,Pases de finalización,Pases de finalizacion por partido, % de efectividad de los centros,Balones perdidos,Balones perdidos por partido,Recuperaciones en campo rival,Recuperaciones en campo rival por partido,Tiros del rival,Remates del rival a puerta,Goles encajados,Goles encajados por partido,Tiros rechazados,Shots saved %,Pases,Pases efectivos,Pases completados por partido, % de efectividad de pases,Salidas con exito por partido,% Salidas con éxito,Pases largos completados,% Pases largos completados,Cleansheets,PSxG
13,Neto,La Liga,Portero,282,6,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,48,22,6,1.0,16,0.73,184,172,28.7,0.93,0.7,1,2.8,0.45,2,0.066
1,M. ter Stegen,La Liga,Portero,281,3,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,31,13,3,1.0,10,0.77,92,89,29.7,0.97,0,0,5.5,0.81,1,0.033
1,Thibaut Courtois,La Liga,Portero,280,10,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,103,37,12,1.2,26,0.68,309,277,27.7,0.90,0.2,1,2.9,0.33,4,0.113
1,Remiro,La Liga,Portero,276,4,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,75,30,5,1.3,25,0.83,316,276,69.0,0.87,0.4,1,7.7,0.54,6,0.076
9,Robert Lewandowski,Bundesliga,Delantero,398,8,669,7,2,1,7,0.94,12,1.5,19,2.1,0.70,19,2.56,0.38,0,0,5,0.67,5,0.67,0.52,7,0.9,2,4,0,0.5,0.82,6,0.81,0.5,58,7.80,2,0.27,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
27,Andrej Kramaric,Bundesliga,Centrocampista,365,5,481,5,2,0,0,0.00,7,1.4,14,0.5,0.48,24,4.49,0.4,0,0,4,0.75,3,0.56,0.18,9,1.8,1,1,0.6,0.2,0.79,9,1.68,0.25,45,8.42,1,0.19,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
15,Mats Hummels,Bundesliga,Defensa,358,9,844,9,1,0,0,0.00,3,0.3,6,0.4,0.19,4,0.43,0.7,0.6,1.6,9,0.96,87,9.28,0.76,54,6.0,1,0,0,0.0,0.91,4,0.43,0,41,4.37,8,0.85,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
6,Joshua Kimmich,Bundesliga,Centrocampista,357,6,480,6,2,0,0,0.00,1,0.2,3,0.5,0.05,12,2.25,0.51,0,0,7,1.31,28,5.25,0.5,32,5.3,3,4,1.9,0.7,0.89,10,1.88,0.6,28,5.25,8,1.50,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
23,Emre Can,Bundesliga,Centrocampista,355,6,550,6,1,0,0,0.00,1,0.2,1,0.0,0.04,22,3.60,0.75,0,0,4,0.65,47,7.69,0.68,29,4.8,2,1,1.1,0.2,0.9,6,0.98,0.38,17,2.78,7,1.15,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
7,Serge Gnabry,Bundesliga,Delantero,354,8,627,7,5,1,1,0.14,4,0.5,9,1.3,0.17,27,3.88,0.43,0,0,9,1.29,15,2.15,0.33,22,2.8,1,0,0,0.0,0.83,15,2.15,0.31,57,8.18,5,0.72,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
