Dorsal,Jugador,Liga,Posicion,Indice InStat,Partidos jugados,Minutos jugados,Starting lineup appearances,Jugador sustituido,De sustitucion,Ocasiones claras falladas,Ocasiones falladas por partido,Goles,Goles por partido,Tiros a portería,Tiros a porteria por partido,xG,Regates,Regates por partido, % disputas ganadas,Faltas cometidas por partido,Taclkes por Partido,Perdidas en campo propio,Perdidas en campo propio por partido,Balones recuperados,Balones recuperados por partido, % disputas por arriba ganadas,Interceptaciones,Interceptaciones por partido,Tarjetas amarillas,Asistencias,xA (Asistencias esperadas),Asistencias por partido,% de efectividad de pases,Pases de finalización,Pases de finalizacion por partido, % de efectividad de los centros,Balones perdidos,Balones perdidos por partido,Recuperaciones en campo rival,Recuperaciones en campo rival por partido,Tiros del rival,Remates del rival a puerta,Goles encajados,Goles encajados por partido,Tiros rechazados,Shots saved %,Pases,Pases efectivos,Pases completados por partido, % de efectividad de pases,Salidas con exito por partido,% Salidas con éxito,Pases largos completados,% Pases largos completados,Cleansheets,PSxG
25,Domenico Berardi,Serie A,Delantero,329,8,771,8,1,0,1,0.12,4,0.5,11,0.4,0.23,24,2.80,0.48,0,0,12,1.40,25,2.92,0.4,27,3.4,1,3,0,0.4,0.81,7,0.82,0.5,65,7.59,10,1.17,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
11,Aleksandar Kolarov,Serie A,Defensa,328,5,398,4,0,1,0,0.00,0,0.0,2,0.2,0.01,5,1.13,0.73,0.4,0.6,3,0.68,33,7.46,0.78,20,4.0,0,1,0,0.2,0.9,2,0.45,0.33,19,4.30,13,2.94,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
73,Manuel Locatelli,Serie A,Centrocampista,326,9,878,9,0,0,0,0.00,2,0.2,5,0.1,0.20,33,3.38,0.61,0,0,17,1.74,45,4.61,0.5,37,4.1,4,0,0.8,0.0,0.89,8,0.82,0.29,63,6.46,10,1.03,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
5,Roberto Gagliardini,Serie A,Centrocampista,323,6,397,5,4,1,0,0.00,2,0.3,2,0.4,0.06,8,1.81,0.6,0,0,3,0.68,13,2.95,0.86,14,2.3,0,1,1,0.2,0.9,2,0.45,0,18,4.08,7,1.59,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
11,Pedro,Serie A,Delantero,322,9,788,9,4,0,1,0.11,3,0.3,7,0.6,0.17,36,4.11,0.52,0,0,9,1.03,11,1.26,0.17,14,1.6,1,1,0,0.1,0.8,13,1.48,0.31,57,6.51,5,0.57,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
10,Hakan Calhanoglu,Serie A,Centrocampista,322,9,757,8,5,1,0,0.00,0,0.0,6,0.6,0.11,15,1.78,0.44,0,0,13,1.55,22,2.62,0.44,18,2.0,1,1,2.4,0.1,0.82,17,2.02,0.4,75,8.92,5,0.59,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
23,Nicolo Barella,Serie A,Centrocampista,317,9,703,7,3,2,0,0.00,0,0.0,3,0.1,0.08,26,3.33,0.54,0,0,16,2.05,38,4.86,0.38,27,3.0,2,3,1.6,0.3,0.86,7,0.90,0.33,57,7.30,19,2.43,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
99,Gianluigi Donnarumma,Serie A,Portero,312,8,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,76,28,5,0.6,24,0.83,237,216,27.0,0.91,0.3,1,5.8,0.41,4,0.084
25,David Ospina,Serie A,Portero,297,4,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,35,13,3,0.8,10,0.77,110,100,25.0,0.91,0.3,1,6,0.46,2,0.02
83,Antonio Mirante,Serie A,Portero,293,7,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,70,34,11,1.6,23,0.68,226,204,29.1,0.90,0.6,1,6.1,0.55,3,0.094
1,Marco Silvestri,Serie A,Portero,286,8,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,147,43,7,0.9,37,0.84,268,224,28.0,0.84,0.1,1,6.4,0.3,3,0.071
47,Andrea Consigli,Serie A,Portero,282,9,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,118,48,12,1.3,37,0.76,282,242,26.9,0.86,0.4,1,6.1,0.45,3,0.123
10,Neymar,Ligue 1,Delantero,427,6,510,5,0,1,6,1.06,3,0.5,10,1.0,0.53,95,16.76,0.52,0,0,6,1.06,13,2.29,0.5,10,1.7,1,3,0,0.5,0.81,23,4.06,0.33,77,13.59,7,1.24,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
7,Kylian Mbappe,Ligue 1,Delantero,378,8,611,7,4,1,4,0.59,9,1.1,20,2.9,0.60,81,11.93,0.48,0,0,5,0.74,0,0.00,0.5,3,0.4,0,4,0,0.5,0.79,15,2.21,0.2,63,9.28,0,0.00,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
11,Angel Di Maria,Ligue 1,Delantero,338,7,542,6,3,1,1,0.17,3,0.4,7,0.6,0.15,37,6.14,0.34,0,0,9,1.49,8,1.33,1,12,1.7,1,3,0,0.4,0.71,20,3.32,0.25,66,10.96,5,0.83,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
27,Idrissa Gueye,Ligue 1,Centrocampista,320,8,502,7,4,1,0,0.00,1,0.1,3,0.1,0.04,11,1.97,0.65,0,0,4,0.72,46,8.25,0.61,22,2.8,1,0,0.3,0.0,0.94,5,0.90,1,23,4.12,12,2.15,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
7,Jonathan Bamba,Ligue 1,Delantero,317,12,1062,11,3,1,0,0.00,4,0.3,10,1.4,0.17,65,5.51,0.45,0,0,14,1.19,30,2.54,0.39,38,3.2,0,5,0,0.4,0.86,21,1.78,0.38,84,7.12,10,0.85,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
24,Alessandro Florenzi,Ligue 1,Defensa,316,8,589,7,4,1,0,0.00,2,0.3,5,0.2,0.12,8,1.22,0.47,0.5,1.1,1,0.15,31,4.74,0.29,23,2.9,1,0,0,0.0,0.85,13,1.99,0.42,28,4.28,12,1.83,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
5,Sven Botman,Ligue 1,Defensa,316,12,1147,12,0,0,0,0.00,0,0.0,0,0.0,0.02,4,0.31,0.75,0.5,1.3,13,1.02,118,9.26,0.74,83,6.9,1,0,0,0.0,0.89,4,0.31,0,46,3.61,15,1.18,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
3,Presnel Kimpembe,Ligue 1,Defensa,314,9,728,8,4,1,0,0.00,0,0.0,0,0.0,0.01,2,0.25,0.79,0.7,1.6,5,0.62,59,7.29,0.67,53,5.9,2,0,0,0.0,0.95,0,0.00,0,14,1.73,12,1.48,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
4,Dante,Ligue 1,Defensa,313,9,824,9,1,0,0,0.00,2,0.2,2,0.5,0.08,1,0.11,0.75,0.7,1.1,10,1.09,59,6.44,0.78,40,4.4,2,1,0,0.1,0.92,2,0.22,0,36,3.93,4,0.44,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
26,Ruben Aguilar,Ligue 1,Defensa,313,11,1008,11,1,0,0,0.00,1,0.1,2,0.1,0.05,27,2.41,0.57,1.2,2.2,9,0.80,59,5.27,0.55,60,5.5,3,3,0,0.3,0.88,14,1.25,0.4,55,4.91,12,1.07,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
6,Marco Verratti,Ligue 1,Centrocampista,312,6,437,5,3,1,0,0.00,0,0.0,2,0.3,0.07,22,4.53,0.56,0,0,7,1.44,26,5.35,0.33,15,2.5,1,0,0.8,0.0,0.94,10,2.06,0,34,7.00,9,1.85,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
15,Danilo Pereira,Ligue 1,Centrocampista,310,4,260,3,2,1,0,0.00,0,0.0,1,0.1,0.04,3,1.04,0.59,0,0,6,2.08,21,7.27,0.89,20,5.0,1,0,0,0.0,0.93,2,0.69,0,12,4.15,4,1.38,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
12,Rafinha,Ligue 1,Centrocampista,309,6,456,5,5,1,0,0.00,0,0.0,3,0.3,0.02,21,4.14,0.51,0,0,6,1.18,25,4.93,0.5,18,3.0,1,1,2,0.2,0.88,10,1.97,0.4,36,7.11,10,1.97,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
19,Pablo Sarabia,Ligue 1,Centrocampista,304,11,695,7,1,4,0,0.00,2,0.2,10,0.5,0.25,9,1.17,0.32,0,0,3,0.39,18,2.33,0.25,19,1.7,1,4,4.1,0.4,0.82,19,2.46,0.47,61,7.90,11,1.42,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
9,Icardi,Ligue 1,Delantero,304,5,368,4,1,1,3,0.73,2,0.4,5,0.6,0.29,2,0.49,0.24,0,0,1,0.24,3,0.73,0.22,3,0.6,0,0,0,0.0,0.78,5,1.22,0,21,5.14,2,0.49,0,0,0,0.0,0,0,0,0,0.0,0.00,0,0,0,0,0,0
1,Keylor Navas,Ligue 1,Portero,313,8,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,72,21,4,0.5,17,0.81,176,161,20.1,0.91,0,0,2.8,0.47,6,0.082
1,Anthony Lopes,Ligue 1,Portero,286,12,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,124,50,10,0.8,41,0.8,320,293,24.4,0.92,0.3,1,4.8,0.5,4,0.115
1,Benoit Costil,Ligue 1,Portero,277,12,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,140,47,13,1.1,35,0.73,374,303,25.3,0.81,0.3,1,8.4,0.43,7,0.122
30,Steve Mandanda,Ligue 1,Portero,281,11,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,123,38,9,0.8,29,0.76,339,274,24.9,0.81,0.5,1,5.4,0.3,4,0.113
16,Mike Maignan,Ligue 1,Portero,278,12,0,0,0,0,0,0.00,0,0.0,0,0.0,0.00,0,0.00,0,0,0,0,0.00,0,0.00,0,0,0.0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0.00,97,38,8,0.7,31,0.79,348,299,24.9,0.86,0.3,0.8,5,0.35,6,0.117
